Ticker,Company
0326.HK,China Star Entertainment Limited
2902.HK,China Star Entertainment Limited
1277.HK,Kinetic Development Group Limited
1910.HK,Samsonite Group S.A.
0010.HK,Hang Lung Group Limited
3933.HK,The United Laboratories International Holdings Limited
1860.HK,Mobvista Inc.
2507.HK,Cirrus Aircraft Limited
0371.HK,Beijing Enterprises Water Group Limited
1286.HK,Impro Precision Industries Limited
9900.HK,Hong Kong Zcloud Technology Construction Limited
0013.HK,HUTCHMED (China) Limited
2314.HK,Lee & Man Paper Manufacturing Limited
0014.HK,Hysan Development Company Limited
2701.HK,Nsing Technologies Inc.
3752.HK,Roake (Shandong) Robotics Group Inc.
2630.HK,"Vigonvita Life Sciences Co., Ltd."
9858.HK,China Youran Dairy Group Limited
6196.HK,"Bank of Zhengzhou Co., Ltd."
0290.HK,GoFintech Quantum Innovation Limited
9677.HK,"Weihai Bank Co., Ltd."
2580.HK,"Aux Electric Co., Ltd."
9989.HK,"Shenzhen Hepalink Pharmaceutical Group Co., Ltd."
2465.HK,"Jiangsu Lopal Tech. Group Co., Ltd."
3899.HK,CIMC Enric Holdings Limited
6185.HK,CanSino Biologics Inc.
1956.HK,"Beijing Zhongke WengeAI Science and Technology Co., Ltd."
3355.HK,FS.COM Limited
2610.HK,Nanshan Aluminium International Holdings Limited
6049.HK,"Poly Property Services Co., Ltd."
0038.HK,First Tractor Company Limited
6745.HK,"Befar Group Co., Ltd"
1579.HK,Yihai International Holding Ltd.
0586.HK,China Conch Venture Holdings Limited
0440.HK,Dah Sing Financial Holdings Limited
1060.HK,Damai Entertainment Holdings Limited
2637.HK,"Fujian Haixi Pharmaceuticals Co., Ltd."
0800.HK,WeRide Inc.
1066.HK,Shandong Weigao Group Medical Polymer Company Limited
0123.HK,Yuexiu Property Company Limited
2009.HK,BBMG Corporation
0811.HK,"Xinhua Winshare Publishing and Media Co., Ltd."
6699.HK,Angelalign Technology Inc.
9668.HK,"China Bohai Bank Co., Ltd."
2658.HK,"Guangdong Tianyu Semiconductor Co., Ltd."
0363.HK,Shanghai Industrial Holdings Limited
